wavelength,flux
115.100000,7.710433e-23
115.219995,7.324167e-23
115.340002,1.007423e-22
115.690002,1.500268e-22
115.809998,1.755809e-22
115.930005,9.450703e-23
116.040002,5.152433e-23
116.159998,9.955373e-23
116.280005,1.173615e-22
116.400000,5.755813e-23
116.519995,1.965689e-23
116.990002,1.901401e-23
117.109998,3.037287e-23
117.219995,7.464240e-24
117.340002,3.123451e-23
117.459998,5.184663e-23
117.580005,2.578836e-23
118.519995,9.632335e-24
119.819995,5.798382e-24
119.940002,1.124918e-23
120.169995,0.000000e+00
120.290002,0.000000e+00
120.409998,0.000000e+00
120.530005,0.000000e+00
120.650000,0.000000e+00
120.759998,0.000000e+00
120.880005,0.000000e+00
121.000000,0.000000e+00
121.119995,0.000000e+00
121.240002,0.000000e+00
121.350000,0.000000e+00
121.469995,0.000000e+00
121.590002,0.000000e+00
121.709998,0.000000e+00
121.830005,0.000000e+00
121.940002,0.000000e+00
122.059998,0.000000e+00
122.180005,0.000000e+00
122.300000,0.000000e+00
122.419995,0.000000e+00
122.530005,0.000000e+00
122.650000,0.000000e+00
122.769995,0.000000e+00
122.890002,0.000000e+00
123.000000,1.453917e-23
123.119995,1.913372e-23
123.240002,3.301978e-23
123.359998,2.740155e-23
123.480005,2.879910e-23
123.590002,1.840728e-23
123.709998,1.621035e-23
123.830005,4.324305e-23
123.950000,5.877708e-23
124.069995,4.327866e-23
124.180005,6.790143e-23
124.300000,8.366104e-23
124.419995,4.239971e-23
124.540002,2.910897e-23
124.659998,3.917870e-23
124.769995,4.821466e-23
124.890002,5.955054e-23
125.009998,9.186810e-23
125.130005,1.103515e-22
125.250000,1.196267e-22
125.359998,1.343144e-22
125.480005,1.456082e-22
125.600000,1.628128e-22
125.719995,1.634481e-22
125.840002,1.673029e-22
125.950000,1.611129e-22
126.069995,1.828792e-22
126.190002,2.953209e-22
126.309998,3.174889e-22
126.430005,2.959397e-22
126.540002,3.504618e-22
126.659998,4.086098e-22
126.780005,5.601172e-22
126.900000,6.662939e-22
127.019995,6.578616e-22
127.130005,6.890095e-22
127.250000,6.623540e-22
127.369995,6.002820e-22
127.490002,5.784953e-22
127.609998,6.263543e-22
127.719995,7.361044e-22
127.840002,8.526459e-22
127.959998,9.954675e-22
128.080005,1.158400e-21
128.200000,1.272397e-21
128.309998,1.340461e-21
128.430005,1.303168e-21
128.550000,1.204928e-21
128.669995,1.178423e-21
128.790002,1.180437e-21
128.900000,1.297886e-21
129.019995,1.428502e-21
129.140002,1.536997e-21
129.259998,1.650264e-21
129.380005,1.704692e-21
129.490002,1.742568e-21
129.609998,1.734903e-21
129.730005,1.694597e-21
129.850000,1.610632e-21
129.969995,1.493371e-21
130.080005,1.257092e-21
130.200000,1.128590e-21
130.319995,1.137982e-21
130.440002,1.162569e-21
130.559998,1.161860e-21
130.669995,1.210129e-21
130.790002,1.246206e-21
130.909998,1.248263e-21
131.030005,1.383555e-21
131.150000,1.615170e-21
131.259998,1.889172e-21
131.380005,2.153623e-21
131.500000,2.343984e-21
131.619995,2.411515e-21
131.730005,2.457570e-21
131.850000,2.546036e-21
131.969995,2.616223e-21
132.090002,2.619303e-21
132.209998,2.561568e-21
132.319995,2.565066e-21
132.440002,2.469156e-21
132.559998,2.472473e-21
132.680005,2.493809e-21
132.800000,2.496604e-21
132.909998,2.456021e-21
133.030005,2.530087e-21
133.150000,2.337689e-21
133.269995,2.130874e-21
133.390002,2.053096e-21
133.500000,2.241269e-21
133.619995,2.502658e-21
133.740002,2.948727e-21
133.859998,3.208455e-21
133.980005,3.328558e-21
134.090002,3.373502e-21
134.209998,3.367998e-21
134.330005,3.478368e-21
134.450000,3.370975e-21
134.569995,3.386337e-21
134.680005,3.355127e-21
134.800000,3.331489e-21
134.919995,3.265105e-21
135.040002,3.111463e-21
135.159998,2.998817e-21
135.269995,2.856751e-21
135.390002,2.843876e-21
135.509998,2.773623e-21
135.630005,2.818384e-21
135.750000,2.906973e-21
135.859998,3.130627e-21
135.980005,3.170536e-21
136.100000,3.095624e-21
136.219995,3.178279e-21
136.340002,3.146321e-21
136.450000,3.108151e-21
136.569995,3.184233e-21
136.690002,3.199367e-21
136.809998,3.161620e-21
136.930005,3.217291e-21
137.040002,3.300033e-21
137.159998,3.323399e-21
137.280005,3.420936e-21
137.400000,3.571273e-21
137.519995,3.627903e-21
137.630005,3.555609e-21
137.750000,3.504507e-21
137.869995,3.573734e-21
137.990002,3.436074e-21
138.109998,3.398700e-21
138.219995,3.637727e-21
138.340002,3.645749e-21
138.459998,3.552233e-21
138.580005,3.537713e-21
138.700000,3.566345e-21
138.809998,3.675041e-21
138.930005,3.664862e-21
139.050000,3.679015e-21
139.169995,3.632247e-21
139.290002,3.572689e-21
139.400000,3.530418e-21
139.519995,3.543639e-21
139.640002,3.488285e-21
139.759998,3.416859e-21
139.880005,3.520809e-21
139.990002,3.720733e-21
140.109998,3.763477e-21
140.230005,3.775504e-21
140.350000,3.802367e-21
140.469995,3.904278e-21
140.580005,4.121411e-21
140.700000,4.107256e-21
140.819995,3.950326e-21
140.940002,3.883441e-21
141.050000,3.908921e-21
141.169995,3.988568e-21
141.290002,4.167749e-21
141.409998,4.222794e-21
141.530005,4.173943e-21
141.640002,4.379679e-21
141.759998,4.359521e-21
141.880005,4.360069e-21
142.000000,4.381419e-21
142.119995,4.360378e-21
142.230005,4.384813e-21
142.350000,4.465719e-21
142.469995,4.519689e-21
142.590002,4.533555e-21
142.709998,4.555342e-21
142.819995,4.381088e-21
142.940002,4.191071e-21
143.059998,4.078221e-21
143.180005,3.921432e-21
143.300000,4.031679e-21
143.409998,4.263977e-21
143.530005,4.202385e-21
143.650000,4.377362e-21
143.769995,4.572062e-21
143.890002,4.435595e-21
144.000000,4.586123e-21
144.119995,4.678186e-21
144.240002,4.595994e-21
144.359998,4.642992e-21
144.480005,4.764008e-21
144.590002,4.886354e-21
144.709998,5.023401e-21
144.830005,5.011528e-21
144.950000,5.074478e-21
145.069995,5.074346e-21
145.180005,5.094581e-21
145.300000,5.105380e-21
145.419995,5.090258e-21
145.540002,5.093795e-21
145.659998,5.099476e-21
145.769995,5.106658e-21
145.890002,4.960869e-21
146.009998,4.923641e-21
146.130005,5.080430e-21
146.250000,4.942155e-21
146.359998,4.730878e-21
146.480005,4.634344e-21
146.600000,4.784751e-21
146.719995,4.791952e-21
146.840002,4.653128e-21
146.950000,4.660556e-21
147.069995,4.638148e-21
